40
0 8
8 8
16 8
24 12
36 8
44 12
56 8
64 12
76 8
84 12
96 8
104 12
116 8
124 12
136 8
144 12
156 8
164 12
176 8
184 12
196 8
204 12
216 8
224 12
236 8
244 12
256 8
264 12
276 8
284 12
296 8
304 12
316 8
324 12
336 8
344 12
356 8
364 12
376 8
384 12
c1508 124 116
c1509 124 231
c1510 144 3
c1511 124 143
c1512 84 309
c1513 184 179
c1514 144 152
c1515 124 295
c1516 104 175
c1517 144 277
c1518 84 214
c1519 184 127
c1520 224 194
c1521 144 294
c1522 184 250
c1523 204 172
c1524 104 292
c1525 164 274
c1526 164 162
c1527 104 251
c1528 164 226
c1529 144 203
c1530 124 283
c1531 84 275
c1532 164 156
c1533 124 313
c1534 104 481
c1535 144 251
c1536 104 223
c1537 144 280
c1538 204 280
c1539 124 480
c1540 124 357
c1541 84 736
c1542 64 509
c1543 204 346
c1544 184 335
c1545 124 415
c1546 124 404
c1547 84 437
c1548 124 587
c1549 104 516
c1550 124 573
c1551 84 539
c1552 204 433
c1553 124 407
c1554 124 392
c1555 164 454
c1556 144 525
c1557 124 551
c1558 124 453
c1559 224 757
c1560 204 448
c1561 144 517
c1562 104 423
c1563 144 492
c1564 104 630
c1565 124 548
c1566 104 513
c1567 104 600
c1568 104 622
c1569 144 701
c1570 164 529
c1571 84 744
c1572 104 642
c1573 104 665
c1574 104 702
c1575 104 645
c1576 144 796
c1577 124 717
c1578 144 606
c1579 144 763
c1580 204 680
c1581 144 549
c1582 144 677
c1583 224 592
c1584 184 486
c1585 124 659
c1586 164 725
c1587 144 586
c1588 164 601
c1589 124 751
c1590 164 705
c1591 224 765
c1592 224 773
c1593 164 621
c1594 224 564
c1595 244 646
c1596 244 652
c1597 176 0
c1598 136 12
c1599 96 33
c1600 156 3
c1601 36 12
c1602 156 9
c1603 196 27
c1604 116 63
c1605 76 18
c1606 96 84
c1607 136 18
c1608 76 51
c1609 156 12
c1610 156 96
c1611 76 63
c1612 156 21
c1613 176 129
c1614 196 96
c1615 116 228
c1616 196 54
c1617 136 93
c1618 116 108
c1619 116 48
c1620 76 150
c1621 116 138
c1622 176 87
c1623 156 108
c1624 216 9
c1625 136 183
