39
0 12
12 12
24 12
36 12
48 12
60 8
68 12
80 8
88 12
100 8
108 12
120 8
128 12
140 8
148 12
160 8
168 12
180 8
188 12
200 8
208 12
220 8
228 12
240 8
248 12
260 8
268 12
280 8
288 12
300 8
308 12
320 8
328 12
340 8
348 12
360 8
c1086 168 170
c1087 248 246
c1088 168 199
c1089 248 237
c1090 188 138
c1091 168 155
c1092 268 220
c1093 188 169
c1094 228 199
c1095 268 268
c1096 148 212
c1097 248 264
c1098 288 283
c1099 228 235
c1100 188 198
c1101 88 269
c1102 148 248
c1103 180 18
c1104 240 0
c1105 280 0
c1106 220 0
c1107 140 15
c1108 220 51
c1109 220 30
c1110 180 87
c1111 200 42
c1112 240 18
c1113 200 54
c1114 180 42
c1115 200 66
c1116 280 15
c1117 260 33
c1118 240 57
c1119 240 36
c1120 240 21
c1121 260 139
c1122 180 33
c1123 240 66
c1124 200 69
c1125 280 90
c1126 260 114
c1127 200 30
c1128 200 84
c1129 260 150
c1130 200 123
c1131 240 72
c1132 260 100
c1133 180 147
c1134 220 105
c1135 220 102
c1136 260 199
c1137 260 205
c1138 280 132
c1139 200 159
c1140 240 102
c1141 180 165
c1142 200 177
c1143 220 123
c1144 220 153
c1145 260 214
c1146 220 159
c1147 240 219
c1148 200 258
c1149 200 156
c1150 200 192
c1151 220 294
c1152 220 177
c1153 220 165
c1154 240 273
c1155 220 282
c1156 220 168
c1157 280 195
c1158 220 228
c1159 240 276
c1160 240 225
c1161 260 0
c1162 260 21
c1163 180 66
c1164 260 30
c1165 240 6
c1166 180 48
c1167 200 15
c1168 160 18
c1169 220 39
c1170 240 42
c1171 260 10
c1172 260 60
c1173 280 63
c1174 220 72
c1175 200 57
c1176 180 117
c1177 260 45
c1178 260 86
c1179 160 96
c1180 180 21
c1181 180 111
c1182 180 99
c1183 240 93
c1184 280 72
c1185 260 190
c1186 180 84
c1187 200 111
c1188 260 133
c1189 280 120
c1190 280 93
c1191 300 96
c1192 200 126
c1193 220 69
c1194 260 178
c1195 220 117
c1196 220 147
c1197 260 184
c1198 260 193
c1199 220 129
c1200 220 144
c1201 260 226
c1202 240 123
c1203 260 211
c1204 280 174
c1205 220 135
c1206 200 204
c1207 320 138
c1208 280 201
c1209 220 219
c1210 220 183
c1211 220 156
c1212 220 180
c1213 260 260
c1214 240 138
c1215 220 249
c1216 240 132
c1217 200 285
c1218 220 225
c1219 260 297
c1220 208 12
c1221 248 40
c1222 208 6
c1223 228 51
c1224 288 40
c1225 308 99
c1226 168 62
c1227 228 31
c1228 208 103
c1229 248 110
c1230 248 52
c1231 188 77
c1232 168 99
c1233 288 74
c1234 248 78
c1235 228 80
c1236 208 58
c1237 208 70
c1238 208 114
c1239 208 129
c1240 308 159
c1241 208 120
c1242 208 106
c1243 248 212
c1244 268 223
c1245 268 212
c1246 308 258
c1247 288 208
c1248 308 215
c1249 208 201
c1250 268 200
c1251 208 282
c1252 208 193
c1253 148 228
c1254 248 204
c1255 228 249
c1256 248 270
c1257 188 206
c1258 268 276
c1259 188 212
c1260 168 266
c1261 148 256
c1262 268 8
c1263 248 34
c1264 268 26
c1265 268 38
c1266 208 0
c1267 288 19
c1268 288 57
c1269 208 44
c1270 248 113
c1271 268 113
c1272 248 147
c1273 288 113
c1274 248 75
c1275 188 19
c1276 288 91
c1277 268 134
c1278 228 134
c1279 288 116
c1280 248 155
c1281 208 138
c1282 228 122
c1283 248 184
c1284 268 122
c1285 288 205
c1286 188 141
c1287 268 159
c1288 268 192
c1289 248 169
c1290 168 110
c1291 288 230
c1292 248 229
c1293 288 168
c1294 328 213
c1295 168 224
c1296 188 195
c1297 228 211
c1298 268 259
c1299 208 187
c1300 228 263
c1301 168 246
c1302 208 229
c1303 288 275
c1304 208 221
c1305 208 271
c1306 248 290
c1307 228 37
c1308 228 14
c1309 288 0
c1310 348 44
c1311 308 6
c1312 268 79
c1313 308 45
c1314 268 128
c1315 228 57
c1316 308 48
c1317 228 86
c1318 268 76
c1319 188 54
c1320 288 107
c1321 268 107
c1322 268 52
c1323 228 140
c1324 208 52
c1325 288 139
c1326 288 153
c1327 228 89
c1328 268 184
c1329 288 162
c1330 268 168
c1331 288 238
c1332 288 174
c1333 188 144
c1334 328 194
c1335 328 147
c1336 288 199
c1337 228 214
c1338 208 209
c1339 228 174
c1340 228 217
c1341 248 201
c1342 288 222
c1343 268 245
c1344 288 255
c1345 268 262
c1346 268 206
c1347 228 277
c1348 188 246
c1349 88 272
c1350 168 185
c1351 248 252
c1352 188 274
c1353 248 6
c1354 308 25
c1355 268 32
c1356 288 37
c1357 248 14
c1358 268 11
c1359 288 60
c1360 288 25
c1361 248 61
c1362 268 46
c1363 188 69
c1364 368 79
c1365 288 122
